,name,ingredients,ingredients_pre,url,serve
2040,렌틸콩 국수,"렌틸콩1 컵,땅콩3 큰 술,물4 컵,오이4/1개,소면150g,소금약간","['땅콩', '오이', '소금', '소면', '렌틸콩']",https://www.haemukja.com/recipes/3680,1
2041,허니바나나토스트,"식빵2장,바나나1/2개,크림치즈2큰술,꿀약간,시나몬 파우더약간,버터약간,[사이드 메뉴] 후랑크 소시지1개,베이컨1장,어린잎 채소30g,[달걀 물] 달걀1개,우유50ml","['바나나', '버터', '어린잎 채소', '후랑크 소시지', '우유', '크림치즈', '달걀', '꿀', '베이컨', '시나몬 파우더', '식빵']",https://www.haemukja.com/recipes/3678,1
2042, 새우로제파스타,"스파게티70g,펜네20g,새우3마리,양파1/6개,마늘1개,브로콜리10g,방울토마토2개,페페로치니2개,시판 토마토소스1컵,생크림1/2컵,화이트 와인50ml,드라이 파슬리약간","['펜네', '토마토소스', '생크림', '페페로치니', '화이트 와인', '드라이 파슬리', '방울토마토', '새우', '브로콜리', '마늘', '양파', '스파게티']",https://www.haemukja.com/recipes/3679,1
2043,버터연유시나몬 바게트,"바게트5조각,버터한큰술,연유2큰술,시나몬가루약간","['연유', '시나몬가루', '바게트', '버터']",https://www.haemukja.com/recipes/3683,1
2044, 클럽 샌드위치,"식빵2장,체다치즈1장,양상추3g,토마토 슬라이스2장,닭가슴살1개,달걀1개,소금약간,후추약간,[홀그레인 머스터드 소스] 마요네즈3큰술,옐로우 머스터드1큰술,홀그레인 머스터드1큰술,꿀1큰술","['마요네즈', '홀그레인 머스터드', '옐로우 머스터드', '소금', '체다치즈', '토마토 슬라이스', '달걀', '꿀', '후추', '닭가슴살', '양상추', '식빵']",https://www.haemukja.com/recipes/3676,1
2045, 매운 홍합 리조또,"흰쌀밥1공기,홍합300g,양파1/6개,마늘2개,페페로치니(또는 월남고추)2개,할라피뇨(절임)10개,드라이 파슬리약간,(시판)치킨스톡약간,소금약간,후추약간","['할라피뇨', '페페로치니', '흰쌀밥', '드라이 파슬리', '소금', '홍합', '마늘', '후추', '양파', '치킨스톡']",https://www.haemukja.com/recipes/3677,1
2046,싸우전드 아일랜드 드레싱,"삶은달걀2개,양파1/5개,홀할라피뇨3개,마요네즈5큰술,케찹2큰술반,소금과 후추약간,레몬즙약간","['마요네즈', '레몬즙', '소금과 후추', '달걀', '케찹', '양파', '홀할라피뇨']",https://www.haemukja.com/recipes/3682,2
2047,막창된장찌개,"물2인분 뚝배기 2/3,된장1 큰술,냉동 소막창적당량,두부반 모,애호박반 개,양파 작은 것반 개,대파적당량,육수용 재료적당량,설탕0.5 티스푼,매운 고춧가루약간,다진마늘1 티스푼,매운 고추한 개","['애호박', '된장', '소막창', '대파', '매운 고춧가루', '두부반 모', '마늘', '매운 고추한 개', '양파', '육수용 재료', '설탕']",https://www.haemukja.com/recipes/3675,2
2048,마크정식,"치즈1개,소세지1개,콕콕콕스파게티1개,자이언트떡볶이1개","['치즈', '콕콕콕스파게티', '소세지', '자이언트떡볶이']",https://www.haemukja.com/recipes/3674,2
2049,김치어묵우동,"어묵1봉지,김치1/3컵,양파1/4개,버섯3개,고춧가루약간,파약간,참기름1작은술,간장1작은술,우동면사리1개","['버섯', '김치', '우동면사리', '파', '간장', '어묵', '고춧가루', '참기름', '양파']",https://www.haemukja.com/recipes/3672,2
